New York,5082871
Pennsylvania,4282891
Ohio,3198062
Illinois,3077871
Missouri,2168380
Indiana,1978301
Massachusetts,1783085
Kentucky,1648690
Michigan,1636937
Iowa,1624615
Texas,1591749
Tennessee,1542359
Georgia,1542180
Virginia,1512565
North Carolina,1399750
Wisconsin,1315497
Alabama,1262505
Mississippi,1131597
New Jersey,1131116
Kansas,996096
South Carolina,995577
Louisiana,939946
Maryland,934943
California,864694
Arkansas,802525
Minnesota,780773
Maine,648936
Connecticut,622700
West Virginia,618457
Nebraska,452402
New Hampshire,346991
Vermont,332286
Rhode Island,276531
Florida,269493
Colorado,194327
Oregon,174768
Delaware,146608
Nevada,62266
