New York,7268894
Pennsylvania,6302115
Illinois,4821550
Ohio,4157545
Missouri,3106665
Texas,3048710
Massachusetts,2805346
Indiana,2516462
Michigan,2420982
Iowa,2231853
Georgia,2216331
Kentucky,2147174
Wisconsin,2069042
Tennessee,2020616
North Carolina,1893810
New Jersey,1883669
Virginia,1854184
Alabama,1828697
Minnesota,1751394
Mississippi,1551270
California,1485053
Kansas,1470495
Louisiana,1381625
South Carolina,1340316
Arkansas,1311564
Maryland,1188044
Nebraska,1066300
West Virginia,958800
Connecticut,908420
Maine,694466
Colorado,539700
Florida,528542
Washington,518103
Rhode Island,428556
Oregon,413536
New Hampshire,411588
South Dakota,401570
Vermont,343641
North Dakota,319146
Utah,276749
Montana,243329
Delaware,184735
Idaho,161772
Wyoming,92531
Nevada,42335
