New York,13479142
Pennsylvania,9900180
Illinois,7897241
Ohio,6907612
California,6907387
Texas,6414824
Michigan,5256106
Massachusetts,4316721
New Jersey,4160165
Missouri,3784664
North Carolina,3571623
Indiana,3427796
Wisconsin,3137587
Georgia,3123723
Tennessee,2915841
Kentucky,2845627
Alabama,2832961
Minnesota,2792300
Virginia,2677773
Iowa,2538268
Louisiana,2363880
Oklahoma,2336434
Mississippi,2183796
West Virginia,1961974
Arkansas,1949387
South Carolina,1899804
Florida,1897414
Maryland,1821244
Kansas,1801028
Washington,1736191
Connecticut,1709242
Nebraska,1315834
Colorado,1123296
Oregon,1089684
Maine,847226
Rhode Island,713346
South Dakota,642961
North Dakota,641935
Montana,559456
Utah,550310
New Mexico,531818
Idaho,524873
Arizona,499261
New Hampshire,491524
Vermont,359231
Delaware,266505
Wyoming,250742
Nevada,110247
