California,33871648
Texas,20851820
New York,18976457
Florida,15982378
Illinois,12419293
Pennsylvania,12281054
Ohio,11353140
Michigan,9938444
New Jersey,8414350
Georgia,8186453
North Carolina,8049313
Virginia,7078515
Massachusetts,6349097
Indiana,6080485
Washington,5894121
Tennessee,5689283
Missouri,5595211
Wisconsin,5363675
Maryland,5296486
Arizona,5130632
Minnesota,4919479
Louisiana,4468976
Alabama,4447100
Colorado,4301261
Kentucky,4041769
South Carolina,4012012
Oklahoma,3450654
Oregon,3421399
Connecticut,3405565
Iowa,2926324
Mississippi,2844658
Kansas,2688418
Arkansas,2673400
Utah,2233169
Nevada,1998257
New Mexico,1819046
West Virginia,1808344
Nebraska,1711263
Idaho,1293953
Maine,1274923
New Hampshire,1235786
Hawaii,1211537
Rhode Island,1048319
Montana,902195
Delaware,783600
South Dakota,754844
North Dakota,642200
Alaska,626932
Vermont,608827
Wyoming,493782
